Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NJ,2012,"9         ",Male,14,Right-Handed,160,28,160,1,Bus,15,0.784,47,Baseball/Softball,300,200,400,500,200,800,28,"Same length",,79,"Ring finger",May,Summer,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)","Physical education",7,2,3,"Yes - broadband connection","Text messaging",3,6,3,1,3,5,2,13,1,2,1,6,0,0,Some,"Graduate degree","Rap/Hip hop",Fly,Healthy,Relative,Health
USA,GA,2017,"9         ",,15,Right-Handed,155,26.67,180,2,Car,"8 ",.301,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,GA,2015,"9         ",Female,15,Right-Handed,240,8,153,2,Car,15,.662,37,Other,8,9,7,9,10,10,8,"Same length",70,60,"Index finger",September,Fall,No,No,Meat,"Soft drink (caffeinated)",Art,8,12,3,"Yes - broadband connection","Text messaging",120,120,0,2,5,8,0,27,10,5,10,20,0,1,"A lot",Other,"Heavy metal",Telepathy,Happy,Actor,"International aid"
USA,NH,2019,"9         ",Male,14,Right-Handed,67,27,67,1,Bus,10,0.4,61,"Football (American)",781,520,650,690,400,790,27,"Same length",80,78,"Index finger",September,Summer,No,No,Pizza/Pasta,Water,Other,7,8,5,"Yes - other","Text messaging",6,6,0,0,20,0,10,0,0,1,1,5,0,0,"A lot","High school","Rap/Hip hop",Fly,Happy,Other,Religious
USA,CA,2019,"9         ",Male,14,Right-Handed,168,24,170,2,Bicycle,6,0.278,40,Swimming,0,0,0,0,1000,1000,24,"Same length",87,86,"Index finger",June,Summer,No,No,Meat,Water,,7,10,7,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,5,47,1,33,7,26,43,48,50,50,0,0,2,Some,"Graduate degree",Other,"Freeze time",Healthy,Other,Health
USA,MN,2018,"9         ",Female,14,Right-Handed,165.1,24,168,2,Bus,35,0.367,39,Walking/Hiking,834,738,775,791,1000,1000,24,"Same length",100,100,"Ring finger",February,Summer,Yes,No,"Rice/Noodle dishes",Tea,"Mathematics and statistics",8,9,5,"Yes - broadband connection","Cell phone",2,6,4,1,6,10,5,1,10,2,15,6,0,5,"A lot","Graduate degree",Pop,Telepathy,Happy,"Community leader or elder",Religious
USA,MI,2018,"9         ",Female,14,Left-Handed,"166 ","26 ",185,4,Car,"35 ",0.726,25,Basketball,1000,1000,1000,750,250,250,26,"Same length",8,8,"Same length",December,Winter,No,No,Pizza/Pasta,Water,Languages,"2-3 ","1-2 ",3,"Yes - broadband connection","Text messaging",40,30,6,1,3,2,2,0,1,1,1,0,0,2,"A lot","Graduate degree",Classical,Telepathy,Happy,"Musician or singer","International aid"
USA,KS,2014,"9         ",Female,14,Ambidextrous,120,22,162,3,Car,5,.39,56,Dancing,829,952,733,941,460,374,22.5,"Left foot",60,75,"Ring finger",July,Fall,No,No,"Rice/Noodle dishes",Water,Music,6,12,9,"Yes - broadband connection",Telephone,5,6,78,4,10,24,2,1,1,13,98,4,0,6,"A lot",Other,Pop,Telepathy,Famous,"Musician or singer",Environment
USA,MN,2018,"9         ",Male,14,Right-Handed,170.1,29,,1,Car,6,0.357,32,"Football (American)",350,733,"642 ",688,42,1000,29,"Same length",3,3,"Ring finger",January,Winter,Yes,No,"No favorite",Water,English,8,8,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,200,9,6,1,7,,,,,,,,,,,,,,,
USA,MN,2018,"9         ",Male,14,Right-Handed,177,25.9,,1,Car,15,.296,60,Basketball,1000,765,1000,631,0,1000,25.9,"Same length",75,85,"Ring finger",October,Summer,Yes,No,Poultry,Water,"Physical education",7,4,5,"Yes - other","Text messaging",300,290,3,30,1,3,0,0,1,24,116,1,0,0,Some,"Some college","Rap/Hip hop",Fly,Happy,Relative,Health
USA,CO,2013,"9         ",Female,15,Right-Handed,160,22.86,154,2,Car,30,0.518,46,Other,2,1,2,2,5,10000,22.86,"Right foot",62.5,68.75,"Same length",December,Summer,No,No,Meat,Water,Other,5,10,5,"Yes - broadband connection","Text messaging",1000,1000,40,2,15,20,25,5,2,28,28,2,0,0,Some,Other,"Rap/Hip hop","Freeze time",Rich,Relative,Health
