Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MI,2018,"9         ",Female,14,Right-Handed,151,21,151,3,Car,22,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,GA,2014,"9         ",Female,14,Right-Handed,61.5,21.59,170.2,3,Car,"5 ",0.326,36,Athletics,400,300,1000,500,1000,1000,20.32,"Right foot",9,8,"Index finger",July,Winter,Yes,No,Meat,Juice,Art,6,8,6,"Yes - broadband connection","Text messaging",15,14,2,0,.5,2,0,3,2,4,4,2,0,0,"Very little","Graduate degree",Pop,Telepathy,Happy,"Musician or singer","International aid"
USA,NC,2013,"9         ",Male,14,Right-Handed,169,24,170,2,Bus,15,0.637,39,Soccer,1000,251,877,1000,160,1000,24,"Same length",8,8,"Same length",July,Spring,No,No,Desserts,Milk,"Physical education",8,10,5,"Yes - other","Text messaging",180,200,10,4,5,4,7,8,4,9,3,7,0,9,"Very little","Some college",Other,Fly,Happy,"Sports person","Wildlife, animals"
USA,CA,2018,"9         ",Male,14,Right-Handed,163,26,164,2,Car,7,0.365,41,Soccer,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NJ,2016,"9         ",,16,Right-Handed,184,25.5,157,2,Car,13,.363,54,None,412,412,214,241,278,278,25.5,"Same length",127,101,"Index finger",April,Summer,Yes,No,Seafood,Water,History,4,11,5,"Yes - broadband connection",Other,101,111,15,60,2,10,0,20,0,10,20,2.5,0,0,"A lot","Some college",Other,"Freeze time",Happy,Other,"Wildlife, animals"
USA,GA,2016,"9         ",Male,15,Right-Handed,168,24,70,2,Car,20,0.314,51,Basketball,920,701,1000,1000,658,733,24,"Same length",60,56,"Index finger",September,Fall,No,No,Poultry,"Sports drink","Mathematics and statistics",8,5,7,"Yes - broadband connection","Text messaging",24,56,8,1,3,4,5,12,2,4,6,4,0,3,None,"Some college","Rap/Hip hop",Fly,Rich,"Sports person",Health
USA,HI,2011,"9         ",Female,14,Right-Handed,143,21,147,1,Bus,60,0.385,47,Other,476,476,476,,1000,1000,21,"Same length",74,71,"Index finger",June,Summer,No,No,Meat,Water,Art,5,12,2,"Yes - other","Text messaging",500,500,60,12,60,12,10,0,24,160,26,24,0,24,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Musician or singer","Wildlife, animals"
USA,MI,2017,"9         ",Male,14,Right-Handed,150,24,155,2,Walk,7,.69,42,Soccer,100,200,300,400,500,750,23,"Right foot",85,90,"Ring finger",September,Summer,No,No,Desserts,Water,Art,7,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,20,24,1,3,5,12,4,24,3,30,22,1,2,Some,"Graduate degree",Other,"Freeze time",Famous,"Religious figure","Wildlife, animals"
USA,CO,2011,"9         ",Female,14,Right-Handed,161,20,153,2,Car,10,0.422,57,Dancing,877,807,872,,1000,10002,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CO,2011,"9         ",Female,15,Right-Handed,158,24,157,2,Car,5,36,56,Soccer,481,556,727,,1000,1000,24,"Right foot",70,80,"Same length",November,Spring,No,No,Desserts,Juice,"Physical education",5,11,2,"Yes - broadband connection","Cell phone",35,42,5,1,2,3,5,0,30,1,1,2,3,0,"A lot","Graduate degree",Techno/Electronic,"Freeze time",Happy,Relative,Health
USA,UT,2013,"9         ",Male,15,Right-Handed,171,26,174,2,Bus,20,.032,40,Skateboarding/Rollerblading,1000,1000,1000,1000,900,1000,26,"Same length",95,100,,November,Summer,No,No,Meat,"Sports drink",History,8,12,4,"Yes - broadband connection","Cell phone",10,10,10,10,10,10,10,10,10,10,10,10,10,10,"A lot","Graduate degree",,Fly,Happy,Other,Health
USA,IL,2016,"9         ",Female,14,Right-Handed,178,24.5,174.5,2,Car,10,.65,42,Tennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,HI,2010,"9         ",Male,14,Right-Handed,177,30.5,177.8,1,Car,45,0.54,,Baseball/Softball,2,6,4,,8,4,30.5,"Same length",30,35,"Ring finger",March,Summer,No,No,Meat,Water,"Physical education",8,7,4,"Yes - broadband connection","Text messaging",2,1,5,0,5,5,7,3,5,5,4,3,0,2,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,"Sports person",Health
USA,OH,2013,"9         ",Male,16,Right-Handed,6.1,12,33,1,Bus,30,60,160,"Football (American)",,,,,,,30,"Same length",9,9,"Same length",March,Summer,No,No,,Other,"Physical education",7,9,4,,"Text messaging",1000,1000,7,3,5,6,7,5,3,5,72,4,4,12,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Rich,"Community leader or elder",Health
USA,IL,2016,"9         ",Male,15,Right-Handed,168,26,173,3,Bus,43,.726,43,Soccer,900,800,900,1000,600,1000,26,"Same length",95,100,"Ring finger",October,Fall,No,No,Seafood,Milk,Other,7.5,9,6,"Yes - broadband connection","Internet chat or instant messaging",5,6,1,2,10,5,8,2,5,1,2,5,4,3,"A lot",Other,"Rap/Hip hop",Fly,Rich,Relative,"Wildlife, animals"
USA,OR,2018,"9         ",Male,14,Right-Handed,171,25,175,1,Car,2,0.303,61,Basketball,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NE,2018,"9         ",Male,15,Right-Handed,175.2,21,,2,Car,10,.216,30,Running/Jogging,500,500,500,500,1000,1000,,,,,,December,Winter,No,No,Other,"Soft drink (caffeinated)",History,5,10,8,"Yes - broadband connection",Other,1,0,15,0,4,6,2,20,3,6,20,0,0,10,"A lot","Some college","Rap/Hip hop",Invisibility,Happy,"Religious figure","Education/Youth development"
USA,HI,2011,"9         ",Female,14,Right-Handed,,,,,Bus,30,,,Tennis,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CO,2011,"9         ",Male,14,Right-Handed,175.5,27,73,2,Car,10,0.016,55,Baseball/Softball,310,925,299,,150,70,27,"Same length",7,7.5,"Same length",July,Summer,No,No,Meat,Water,"Physical education",9,10,5,"Yes - broadband connection","In person",5,5,45,0,2,49,7,2,5,5,2,7,0,7,"Very little","Graduate degree",Other,Invisibility,Happy,"Sports person","International aid"
USA,GA,2014,"9         ",Male,14,Right-Handed,162.5,23,167,2,Car,7,.338,36,Tennis,500,650,700,700,750,800,23,"Same length",80,60,"Index finger",September,Spring,Yes,No,Meat,Water,"Social studies",8,10,3,"Yes - broadband connection","Text messaging",100,175,12,2,14,5,11,2,3,2,3,5,0,2,Some,"Graduate degree",Country,Fly,Happy,Relative,Health
USA,PA,2014,"9         ",Female,17,Left-Handed,160.0,19,163.8,1,Car,8,.748,44,"Hockey (Field)",200,200,0,200,1000,1000,20,"Left foot",65,55,"Ring finger",March,Summer,Yes,No,Seafood,Water,"Social studies",5,9,3,"Yes - other","Text messaging",300,200,70,1,5,70,10,0,21,110,30,2,2,2,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Wildlife, animals"
USA,CA,2018,"9         ",Female,14,Left-Handed,155,23.8,147,1,Car,8,0.295,39,Dancing,925,610,968,824,337,1000,24,"Left foot",70,60,"Index finger",July,Winter,Yes,No,"No favorite",Water,History,7,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",64,62,10,4,5,35,19,1,140,53,3,4,0,84,Some,"Graduate degree","Rock and roll",Telepathy,Happy,Relative,"Arts, culture, sports"
USA,CA,2016,"9         ",Male,15,Ambidextrous,,,,2,Walk,10,0.352,40,Athletics,900,850,1000,300,1,1,,"Same length",,,"Same length",April,Fall,No,No,Fruit,Water,History,7,8,8,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,40,10,0,21,3,15,0,28,14,35,0,0,0,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Healthy,Other,"Education/Youth development"
USA,NC,2016,"9         ",Female,14,Right-Handed,152.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2019,"9         ",Male,15,Right-Handed,182,29,182,2,Car,30,0.442,39,Golf,500,500,250,250,1000,1000,30,"Left foot",120,120,"Same length",April,Summer,Yes,No,Desserts,Milk,"Mathematics and statistics",8,9,4,"Yes - other","In person",10,300,30,1,10,5,10,8,8,2,20,4,0,8,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,Health
USA,DC,2010,"9         ",Female,14,Right-Handed,164,9,164,1,Bus,40,.297,36,Swimming,600,800,900,,1000,1000,9,"Right foot",70,70,"Ring finger",August,Summer,No,No,Pizza/Pasta,Juice,History,7,9,4,"Yes - broadband connection","Text messaging",100,100,10,8,4,0,1,0,2,17,4,8,0,1,Some,"Graduate degree","Rhythm and blues (R&B)","Freeze time",Rich,Relative,Other
USA,GA,2016,"9         ",Female,15,Right-Handed,,24,,2,Bus,35,.314,39.5,Skateboarding/Rollerblading,1000,240,1000,700,950,1000,24,"Same length",63,65,"Ring finger",September,Summer,Yes,No,Fruit,Water,"Physical education",8,9,9,"Yes - other","Internet chat or instant messaging",35,50,14,8,5,25,15,1,12,4,8,0,0,6,"Very little","Undergraduate degree","Punk rock",Invisibility,Healthy,"Religious figure",Religious
USA,MI,2018,"9         ",Female,14,Right-Handed,155,23,151,3,Car,40,0.379,40,Other,1000,500,750,500,0,0,24,"Left foot",100,80,"Index finger",March,Fall,No,No,Meat,"Soft drink (caffeinated)","Physical education",8,6,7,"No internet connection","In person",2,28,1,0,4,0,18,1,1,1,0,2,0,2,"A lot","Undergraduate degree",Country,"Super strength",Rich,"Sports person","Wildlife, animals"
USA,UT,2010,"9         ",Male,14,Right-Handed,175,26,185,1,Bus,10,0.547,54,Other,300,300,400,,100,100,26,"Same length",150,180,"Ring finger",June,Summer,Yes,No,Meat,Water,Geography,9,10,2,"No internet connection","In person",0,0,1,1,1,3,2,4,0,0,1,4,0,2,Some,"Graduate degree",Country,"Freeze time",Happy,"Religious figure",Other
USA,NE,2012,"9         ",Male,14,Right-Handed,59.8,23.9,150,1,Car,7,.358,48,Basketball,112,471,355,400,350,300,24,"Left foot",76,75,"Index finger",May,Fall,No,No,Meat,Milk,Geography,8,10,6,"Yes - broadband connection","In person",3,8,24,1,8,50,10,4,6,10,10,10,5,3,"A lot","Graduate degree",Country,Telepathy,Happy,"Sports person",Health
USA,GA,2016,"9         ",Male,15,Left-Handed,57,10.5,168,2,Car,"5 ",.257,36,"Football (American)",0,0,50,75,100,100,10.5,"Left foot",105,7,"Index finger",September,Summer,Yes,No,Meat,"Sports drink","Physical education",8,10,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",200,200,40,10,2,30,168,0,168,168,168,50,0,3,None,Other,"Rap/Hip hop","Super strength",Rich,Relative,"Education/Youth development"
USA,CT,2019,"9         ",Female,14,Right-Handed,63,20,53,2,Bus,15,0.411,41,Baseball/Softball,652,797,1000,941,626,626,20,"Same length",8,7,"Index finger",August,Fall,Yes,No,Pizza/Pasta,Water,Science,7,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,100,12,0,1,4,2,3,6,14,10,15,0,2,Some,"Some college",Pop,Telepathy,Famous,Actor,"Education/Youth development"
USA,VT,2017,"9         ",Male,15,Right-Handed,188,27,183,1,Walk,1,.5036,58,Running/Jogging,500,200,300,500,1000,1000,27,"Right foot",100,110,"Index finger",July,Summer,Yes,No,Desserts,Coffee,Other,9,9,4,"Yes - other","Cell phone",1,2,10,2,5,5,5,10,0,0.5,10,1,0,1,Some,"Graduate degree",Pop,"Freeze time",Rich,Relative,Environment
USA,MO,2016,"9         ",Male,15,Right-Handed,180,28,176,2,Car,5,0.424,76,Athletics,1000,1000,1000,1000,1000,1000,26,"Right foot",11,13,"Ring finger",December,Winter,No,No,Salads,Water,Music,7,5,4,"Yes - broadband connection","In person",2,17,3,5,5,2,5,3,5,5,5,5,2,5,"A lot","Graduate degree",Country,"Super strength",Rich,Actor,Other
USA,GA,2015,"9         ",Male,14,Right-Handed,177,28.45,187,1,Bus,45,0.441,45,"Football (American)",800,600,1000,1000,300,350,28.3,"Right foot",77,79,"Ring finger",April,Winter,No,No,Seafood,"Soft drink (caffeinated)",Geography,6,8,3,"Yes - dial-up connection","In person",40,52,48,.20,.5,72,16,28,1,0,18,0,0,48,"A lot","Graduate degree",Pop,Invisibility,Healthy,"Religious figure",Health
USA,OR,2017,"9         ",Female,14,Left-Handed,165,21,,1,Bus,3,0.455,51,Baseball/Softball,1000,1000,1000,1000,0,1000,22,"Right foot",80,90,"Ring finger",July,Summer,Yes,No,Fruit,"Energy drink",Music,8,10,4,"Yes - other","In person",3,3,49,2,7,6,21,0,0,3,0,2,0,14,"A lot","Graduate degree",Other,Telepathy,Happy,"Musician or singer",Health
USA,NM,2018,"9         ",Male,14,Right-Handed,178,25,176,3,Car,15,0.445,46,Baseball/Softball,500,500,500,500,660,1000,25,"Same length",70,75,"Ring finger",November,Winter,Yes,No,"Rice/Noodle dishes","Energy drink","Social studies",9,0,3,"Yes - other","Text messaging",60,60,8,0,1,3,0,4,2,1,1,2,0,2,None,"Graduate degree",Other,Invisibility,Healthy,"Musician or singer","International aid"
USA,WY,2011,"9         ",Female,15,Right-Handed,"161 ",23.5,161.5,1,Car,10,0.358,50,Tennis,678,499,387,,546,422,22,"Right foot",95,100,"Ring finger",August,Spring,Yes,No,Other,Water,Music,9,11,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",178,250,15,0,9,2,0,0,17,72,15,3,10,2,Some,"Graduate degree",Other,"Freeze time",Happy,"Religious figure","International aid"
USA,MI,2018,"9         ",Male,14,Right-Handed,174,27,176,1,Bus,14,.12,39,Athletics,877,412,11,32,920,1000,27,"Same length",99,101,"Ring finger",August,Fall,No,No,Meat,Water,"Computers and technology",8,4,4,"Yes - broadband connection","Text messaging",25,20,4,1,1,9,7,22,3,1,36,6,0,7,Some,"Graduate degree",Techno/Electronic,"Freeze time",Rich,"Sports person","Wildlife, animals"
USA,CA,2017,"9         ",Female,14,Right-Handed,168,24,157,1,Car,"15 ",0.375,60,Dancing,900,800,900,800,700,900,23,"Right foot",7,7.5,"Ring finger",February,Summer,No,No,Meat,Water,Music,9,10,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,18,8,3,3,6,2,0,5,4,6,1,,3,Some,"Graduate degree","Rock and roll",Fly,Rich,Relative,"Wildlife, animals"
USA,SD,2019,"9         ",Female,14,Right-Handed,173,,,1,Walk,3,0.473,42,Gymnastics,2,3,1,4,5,6,,,,,,August,Summer,Yes,No,"Rice/Noodle dishes",Water,Art,5-6,8-9,4,"Yes - broadband connection","Cell phone",5,3,7,,,,,,,,,,,,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Friend,"Education/Youth development"
USA,NE,2013,"9         ",Male,15,Right-Handed,178,29,175,1,Car,15,0.39,40,Soccer,0,0,0,1000,1000,1000,29,"Same length",110,90,"Index finger",April,Spring,No,No,Seafood,,Science,10,10,5,"Yes - other","Text messaging",100,110,9,1,10,5,15,20,5,10,5,5,,,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,Friend,"Arts, culture, sports"
USA,CA,2017,"9         ",Female,15,Left-Handed,,,,4,Walk,2,0.475,48,Running/Jogging,1000,1000,1000,1000,1000,1000,,"Left foot",6.5,6,"Ring finger",October,Summer,Yes,Yes,"Rice/Noodle dishes",Water,Music,9,9,7,"Yes - other","Text messaging",25,30,0,5,15,35,2,10,6,30,60,30,3,70,Some,"Graduate degree",Other,Telepathy,Happy,Relative,"Wildlife, animals"
USA,GU,2014,"9         ",Female,15,Right-Handed,155,23,155,2,Other,5,1.435,76,Other,999,998,997,996,450,50,22,"Right foot",75,84,"Ring finger",December,Summer,No,No,Fruit,Other,Music,"5 ",9,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",150,125,40,5,10,25,50,1,9,10,5,15,25,35,"A lot",Other,Pop,Invisibility,Happy,"Musician or singer","Arts, culture, sports"
USA,GA,2016,"9         ",Female,14,Left-Handed,165.1,23.7,83.47,1,Bus,25,.3525,46,Athletics,679,743,856,578,321,417,24.6,"Left foot",70,72,"Ring finger",March,Spring,Yes,No,Other,"Soft drink (caffeinated)","Mathematics and statistics","7 ",10,11,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",150,200,10,2,11,15,20,6,20,30,45,25,0,15,"A lot","Graduate degree",Other,Invisibility,Rich,"Musician or singer",Health
USA,UT,2010,"9         ",Female,15,Right-Handed,1641,23,167,2,Car,"16 ",2,9,Basketball,200,400,700,,1000,700,23,"Same length",81,104,"Index finger",,Summer,No,Yes,Other,Water,Geography,7,7,8,"No internet connection",Other,0,0,2,30,2,5,1,23,15,12,14,20,2,1,Some,"Some college","Rap/Hip hop","Super strength",Healthy,"Musician or singer",Health
USA,HI,2011,"9         ",Female,14,Right-Handed,144.7,20.5,140,1,Car,25,.421,91,Soccer,500,500,500,,750,800,20,"Right foot",60,53,"Index finger",September,Fall,No,No,Pizza/Pasta,Water,"Physical education",7,9,4,"Yes - other",E-mail,0,0,37,0,5,2,4,7,6,5,20,10,0,1,Some,"Graduate degree","Rock and roll",Fly,Happy,"Sports person","International aid"
USA,NC,2014,"9         ",Female,14,Right-Handed,170,22,171,1,Bus,30,0.439,38,Other,936,567,829,717,396,385,23.5,"Left foot",80,80,"Same length",May,Fall,No,No,"No favorite",Water,Art,8,6,6,"Yes - other","In person",0,0,5,,,,,,,,,,,,Some,"Some college",Other,Invisibility,Happy,Relative,"International aid"
USA,CA,2019,"9         ",Female,15,Left-Handed,152,23,157,2,Car,15,0.5,38,Soccer,1000,900,950,900,800,1000,23,"Same length",60,60,"Same length",March,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",8,10,4,"Yes - broadband connection","Internet chat or instant messaging",98,96,3,2,15,14,3,0,20,18,40,0,0,2,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Environment
USA,IL,2016,"9         ",Female,14,Right-Handed,152.4,23,148,1,Car,3,.445,40,Lacrosse,750,900,750,850,100,100,25,"Left foot",60,"45 ","Index finger",June,Summer,No,No,Breads/Sandwiches,Water,History,6,8,5,"Yes - other","Text messaging",50,53,16,1,12,12,20,1,10,12,9,4,1,2,"A lot",Other,"Rap/Hip hop","Freeze time",Happy,Relative,Health
USA,GA,2017,"9         ",Female,15,Right-Handed,173,25,174,2,Car,15,.302,41.5,Dancing,800,700,900,600,400,500,25,"Same length",80,80,"Same length",January,Fall,No,No,"No favorite",Water,Art,6,8,4,"Yes - broadband connection","Text messaging",3,12,0,0,12,1,16,0,5,3,9,0,0,3,"A lot",Other,Other,"Freeze time",Happy,Friend,"Wildlife, animals"
USA,GA,2018,"9         ",Male,15,Left-Handed,6.2,10.2,62.9,2,Car,20,,,"Football (American)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2018,"9         ",Female,15,Right-Handed,162,24.1,162,1,Car,5,0.642,42,Running/Jogging,727,503,866,567,941,1000,24.1,"Same length",72,70,"Index finger",April,Winter,Yes,No,Seafood,Water,English,7,5,6,"Yes - broadband connection","Text messaging",450,400,2,0,4,4,2,2,2,5,8,6,0,1,Some,"Graduate degree",Pop,"Freeze time",Happy,"Business person",Health
USA,GU,2014,"9         ",Male,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2016,"9         ",Female,15,Right-Handed,165,24,163,1,Car,30,.736,41,Rowing,900,850,900,800,400,500,23,"Right foot",75,59,"Index finger",April,Fall,No,No,Salads,Water,Music,8,10,3,"Yes - other","Text messaging",60,50,8,1,12,8,16,4,9,10,6,2,0,4,"A lot","Graduate degree","Punk rock",Fly,Happy,"Coach or club leader","International aid"
USA,WA,2016,"9         ",Female,15,Right-Handed,166,25,57,2,Bus,65,.402,48,"Table Tennis",100,95,70,80,30,70,25,"Same length",8,7,"Ring finger",February,Summer,Yes,Yes,Fruit,Water,Art,6,11,3,"Yes - other","Internet chat or instant messaging",40,40,6,1,5,12,0,0,10,3,4,2,0,3,"A lot","Graduate degree",Other,"Freeze time",Happy,Politician,Environment
USA,VT,2017,"9         ",Male,14,Right-Handed,173,27.5,173,1,Walk,2,0.414,53,Lacrosse,775,775,800,600,300,445,27.5,"Same length",100,140,"Ring finger",March,Winter,No,No,Meat,Water,History,7,8,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",3,5,35,13,26,30,25,18,20,28,30,17,15,11,"Very little","Undergraduate degree","Rock and roll",Invisibility,Happy,Relative,Environment
USA,CA,2016,"9         ",Female,14,Right-Handed,,,,2,Car,5,0.142,55,Athletics,1000,1000,1000,1000,55,55,,"Same length",,,"Ring finger",November,Fall,No,No,"No favorite",Water,"Mathematics and statistics",9,9,8,"Yes - broadband connection","In person",17,18,3,1,5,12,5,1,0,2,1,1,0,2,None,"Graduate degree",Country,"Freeze time",Healthy,Relative,Environment
USA,WY,2011,"9         ",Female,14,Right-Handed,165,27,165,1,Car,5,0.375,34,None,500,300,800,,300,300,26,"Right foot",88,94,"Ring finger",March,Summer,No,No,"Rice/Noodle dishes",Water,"Physical education",8,5,5,"Yes - broadband connection","Text messaging",500,510,50,3,3,40,15,1,15,50,10,5,0,7,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Famous,Relative,"International aid"
USA,DC,2010,"9         ",Female,15,Right-Handed,5.2,27,170,1,Car,30,0.344,1.12,Dancing,600,700,1000,,278,100,27,,100,90,"Index finger",October,Summer,No,No,Meat,Juice,Music,7,10,4,"Yes - other","Text messaging",50,50,4,3,3,2,6,2,1,7,7,5,6,7,"A lot","Graduate degree","Rap/Hip hop",,Healthy,"Doctor or nurse","International aid"
USA,MD,2015,"9         ",Female,14,Right-Handed,175,23,165,1,Car,60,0.807,51,Soccer,750,850,600,650,200,300,23,"Right foot",74,83,"Ring finger",June,Summer,No,No,Meat,Water,Science,7,9,6,"Yes - dial-up connection","In person",20,40,7,1,21,10,16,0,3,6,5,0,0,4,Some,"Graduate degree",Pop,Invisibility,Happy,"Community leader or elder",Health
USA,DC,2010,"9         ",Male,14,Ambidextrous,175,28,178,2,Bus,31,0.391,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NH,2019,"9         ",Male,14,Right-Handed,175,28,71,1,Car,10,.243,34,Soccer,200,100,400,600,700,900,28,"Same length",102,102,,February,Summer,No,No,"No favorite",Water,"Physical education",5,10,3,"Yes - other","Text messaging",30,35,8,4,10,9,5,1,4,6,1,1,0,4,"A lot","Undergraduate degree","Rap/Hip hop",Fly,Happy,"Sports person","International aid"
USA,NY,2019,"9         ",Male,14,Right-Handed,169,25,174,2,"Rail (Train/Tram/Subway)",25,0.379,58,Baseball/Softball,500,500,500,500,340,600,25,"Same length",,,,November,Summer,No,No,Desserts,Juice,"Physical education",7,10,5,"Yes - other",Telephone,20,59,120,10,1,4,12,1,140,168,154,5,0,7,Some,"High school","Rap/Hip hop","Freeze time",Rich,Relative,"Arts, culture, sports"
USA,GA,2018,"9         ",Female,14,Right-Handed,10.41,19,155,2,Bus,50,0.484,36,Lacrosse,856,914,594,679,668,551,19.5,"Left foot",11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IA,2012,"9         ",Female,14,Ambidextrous,165,22.5,101.5,1,Bus,10,.419,,Dancing,419,617,567,430,432,624,21.5,"Right foot",66,71,"Ring finger",July,Fall,Yes,No,Fruit,"Sports drink",Art,5,9,4,"Yes - broadband connection","Text messaging",65,82,72,0,5,1,0,3,7,168,5,0,0,0,Some,"Some college","Heavy metal","Super strength",Happy,Teacher,Health
USA,UT,2013,"9         ",Female,15,Right-Handed,169,24,174,1,Car,5,0.361,31,Other,50,50,50,1000,1000,1000,24,"Same length",78,57,"Index finger",January,Summer,Yes,No,Meat,"Sports drink",Art,6,12,5,"Yes - broadband connection","Text messaging",428,430,30,5,2,20,4,1,1,50,1,2,0,3,"A lot","Graduate degree",Pop,Invisibility,Famous,"Musician or singer",Environment
USA,CA,2019,"9         ",Male,15,Right-Handed,169,24.1,161,2,Car,7m,0.296,34,Soccer,492,433,1000,1000,1000,1000,9.5,"Same length",83,76=-p,"Index finger",March,Winter,Yes,No,Pizza/Pasta,"Sports drink","Physical education",8,5,,"Yes - other","Internet chat or instant messaging",20,28,6,3,4,2,5,5,7,5,3,4,2,7,Some,"Some college","Rap/Hip hop",Invisibility,Famous,"Sports person",Environment
USA,GU,2014,"9         ",Male,15,Right-Handed,152,22,161,1,Bus,45,0.405,36,Other,666,666,999,999,999,999,24,"Left foot",80,82,"Ring finger",December,Fall,Yes,No,Meat,Water,"Physical education",7,9,5,"Yes - broadband connection","In person",0,10,28,1,12,69,10,7,42,2,42,0,0,4,"A lot",Other,Other,Telepathy,Happy,Relative,Other
USA,WI,2014,"9         ",Male,15,Right-Handed,,10,152,3,Car,30,0.711,107,Basketball,999,685,500,0,0,999,29,"Same length",100,80,"Ring finger",January,Summer,No,No,Salads,Water,"Physical education",4,3,6,"Yes - other","Cell phone",60,80,12,48,24,32,72,2,24,48,48,0,0,0,Some,"Some college","Rap/Hip hop",Telepathy,Happy,Relative,"Arts, culture, sports"
USA,CA,2018,"9         ",Female,14,Right-Handed,154,23,152,1,Car,5,.484,41,Other,500,400,700,300,100,200,24,"Same length",70,75,"Index finger",June,Winter,Yes,No,Desserts,Water,Art,8,8,4,"Yes - broadband connection","Text messaging",100,200,12,3,3,10,15,2,4,5,3,4,0,5,"A lot","Graduate degree",Pop,Invisibility,Healthy,Relative,Health
USA,NY,2019,"9         ",Female,16.5,Left-Handed,10.43,23.5,1.2,3,Car,30,0.385,55,Tennis,1000,1000,759,759,1000,1000,23.5,"Same length",22.86,12.7,"Index finger",January,Spring,No,No,Meat,,English,11,15,9,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",0,0,0,5,10,7,5,10,2,3,20,5,1,15,"A lot","Graduate degree","Rock and roll",Telepathy,Healthy,"Business person",Environment
USA,PA,2019,"9         ",Female,14,Right-Handed,170,22,164,1,Car,40,.404,55,Soccer,802,980,647,807,775,775,22,"Same length",75,74,"Index finger",May,Summer,No,No,Poultry,Water,"Mathematics and statistics",7,9,6,"Yes - broadband connection","Text messaging",30,40,12,3,6,10,12,1,9,7,15,1,0,4,Some,"Graduate degree",Pop,Telepathy,Happy,Other,"Wildlife, animals"
